d_spell,f_spell,champion,side,assists,damage_objectives,damage_building,damage_turrets,deaths,kda,kills,level,time_cc,damage_taken,turret_kills,vision_score,damage_total,gold_earned,minions_killed,server
11.0,4.0,Qiyana,Side.blue,4.0,0.0,4344.0,0.0,12.0,0.833333333,6.0,13.0,20.0,28778.0,0.0,15.0,128233,10257,Few,2
14.0,12.0,Camille,Side.red,2.0,3633.0,3836.0,3633.0,6.0,0.833333333,3.0,13.0,11.0,23558.0,1.0,13.0,65753,8034,Many,2
4.0,12.0,Irelia,Side.red,5.0,2901.0,2901.0,2901.0,6.0,0.833333333,0.0,13.0,7.0,20420.0,0.0,18.0,100975,7989,Many,2
4.0,12.0,Jayce,Side.red,7.0,4311.0,11912.0,4311.0,12.0,0.8333333333333334,3.0,14.0,6.0,27662.0,2.0,31.0,132158,11785,Many,0
12.0,4.0,Camille,Side.red,3.0,0.0,724.0,0.0,6.0,0.8333333333333334,2.0,13.0,10.0,18354.0,0.0,10.0,66959,7549,Many,1
4.0,14.0,Sett,Side.blue,2.0,2768.0,2768.0,2768.0,6.0,0.8333333333333334,3.0,14.0,16.0,24922.0,0.0,11.0,87098,9393,Many,0
4.0,11.0,Kayn,Side.red,3.0,261.0,16350.0,261.0,6.0,0.8333333333333334,2.0,13.0,14.0,28359.0,0.0,19.0,139515,8549,Few,0
12.0,4.0,Jayce,Side.red,4.0,4843.0,7036.0,4843.0,6.0,0.8333333333333334,1.0,14.0,9.0,14168.0,3.0,14.0,122260,8863,Many,1
11.0,4.0,Trundle,Side.blue,5.0,0.0,15150.0,0.0,7.0,0.857142857,1.0,13.0,16.0,30884.0,0.0,19.0,114957,7833,Few,2
12.0,14.0,Camille,Side.red,8.0,0.0,0.0,0.0,14.0,0.857142857,4.0,14.0,24.0,39576.0,0.0,12.0,85515,9549,Many,2
12.0,4.0,Renekton,Side.blue,5.0,923.0,923.0,923.0,7.0,0.857142857,1.0,13.0,15.0,32263.0,0.0,11.0,105892,8559,Many,2
12.0,14.0,Camille,Side.blue,3.0,1725.0,2189.0,1725.0,7.0,0.8571428571428571,3.0,13.0,14.0,30166.0,0.0,25.0,87979,9186,Many,0
4.0,12.0,Yasuo,Side.blue,3.0,2648.0,5696.0,2648.0,7.0,0.8571428571428571,3.0,13.0,7.0,15894.0,1.0,10.0,94479,8406,Many,1
4.0,12.0,Fiora,Side.blue,0.0,2128.0,8737.0,2128.0,7.0,0.8571428571428571,6.0,14.0,9.0,33140.0,0.0,28.0,144178,11045,Many,0
4.0,6.0,Darius,Side.red,5.0,4047.0,4284.0,4047.0,8.0,0.875,2.0,13.0,20.0,29039.0,1.0,11.0,89272,9081,Many,1
4.0,12.0,Yone,Side.red,6.0,2564.0,6703.0,2564.0,8.0,0.875,1.0,14.0,14.0,17235.0,2.0,10.0,73632,7468,Many,0
4.0,11.0,Ekko,Side.red,3.0,245.0,4939.0,245.0,8.0,0.875,4.0,13.0,12.0,25687.0,0.0,18.0,136587,8894,Few,1
4.0,12.0,Yone,Side.red,6.0,2564.0,6703.0,2564.0,8.0,0.875,1.0,14.0,14.0,17235.0,2.0,10.0,73632,7468,Many,0
12.0,4.0,Jayce,Side.blue,3.0,3673.0,10517.0,3673.0,8.0,0.875,4.0,13.0,5.0,16833.0,1.0,24.0,121727,11042,Many,1
12.0,4.0,Jax,Side.red,2.0,5501.0,5501.0,5501.0,9.0,0.8888888888888888,6.0,14.0,12.0,31983.0,2.0,17.0,137806,12648,Many,0
12.0,4.0,Graves,Side.blue,5.0,4110.0,4110.0,4110.0,9.0,0.8888888888888888,3.0,14.0,13.0,24152.0,2.0,22.0,132846,10069,Many,1
4.0,12.0,Renekton,Side.blue,5.0,1140.0,3046.0,1140.0,9.0,0.8888888890000001,3.0,13.0,17.0,37134.0,1.0,23.0,110297,9539,Many,2
4.0,12.0,Rumble,Side.red,2.0,0.0,81.0,0.0,9.0,0.8888888890000001,6.0,13.0,17.0,21423.0,0.0,21.0,98397,9549,Many,2
4.0,12.0,Sett,Side.red,2.0,4989.0,5650.0,4989.0,9.0,0.8888888890000001,6.0,14.0,21.0,29081.0,2.0,9.0,106383,11092,Many,2
14.0,12.0,Camille,Side.red,4.0,3632.0,3987.0,3632.0,10.0,0.9,5.0,14.0,26.0,40108.0,1.0,21.0,101437,10859,Many,1
3.0,12.0,Camille,Side.blue,4.0,4093.0,4487.0,4093.0,11.0,0.9090909090909092,6.0,14.0,19.0,32063.0,2.0,10.0,84993,11210,Many,0
11.0,6.0,Hecarim,Side.blue,5.0,594.0,15836.0,594.0,7.0,1.0,2.0,13.0,9.0,28594.0,0.0,26.0,111992,8613,Few,1
14.0,12.0,Rumble,Side.red,1.0,3622.0,4735.0,3622.0,8.0,1.0,7.0,14.0,13.0,24780.0,1.0,35.0,121251,11345,Many,0
12.0,4.0,LeeSin,Side.red,7.0,2664.0,4872.0,2664.0,8.0,1.0,1.0,13.0,11.0,20378.0,0.0,14.0,72691,7950,Many,1
12.0,14.0,Akali,Side.red,5.0,753.0,810.0,753.0,6.0,1.0,1.0,13.0,1.0,16535.0,0.0,17.0,61167,7166,Many,1
4.0,11.0,Viego,Side.blue,5.0,285.0,15808.0,285.0,10.0,1.0,5.0,14.0,11.0,32975.0,0.0,23.0,145827,10401,Few,0
11.0,4.0,Nunu,Side.red,2.0,484.0,15678.0,484.0,5.0,1.0,3.0,14.0,18.0,28071.0,1.0,19.0,107927,8943,Few,0
11.0,4.0,Nunu,Side.red,2.0,484.0,15678.0,484.0,5.0,1.0,3.0,14.0,18.0,28071.0,1.0,19.0,107927,8943,Few,0
